data;Índ. Dólar;dólar EUA spot;dólar-ouro;dólar-prata;méx.;euro-dólar EUA;libra-dól;Japão;reais BR;CRB Tot;CRB Ali;CRB Ind;CRB Met;CRB Ól.;CRB Text;CRB Gado;Soja Spot;Milho Spot;Açúcar Spot;Café A Spot;Café A Indx;Petróleo B;Petróleo W;Ouro;Prata
10/08/1998;101,48;1;287,45;5,335;9,12;1,1001;1,6338;146,31;1,1687;;;;;;;;;;;;;;;;
11/08/1998;101,76;1;283,95;5,185;9,19;1,099;1,6303;147,26;1,1686;;;;;;;;;;;;;;;;
12/08/1998;101,79;1;282,75;5,175;9,275;1,103;1,6268;146,18;1,1696;;;;;;;;;;;;;;;;
13/08/1998;101,65;1;285,35;5,195;9,19;1,0971;1,6243;145,03;1,1713;;;;;;;;;;;;;;;;
14/08/1998;102,42;1;284,05;5,175;9,215;1,0896;1,6178;146,38;1,1712;;;;;;;;;;;;;;;;
17/08/1998;102,17;1;285,05;5,125;9,2575;1,0914;1,6151;146,07;1,1725;;;;;;;;;;;;;;;;
18/08/1998;102,4;1;284,95;5,095;9,21;1,089;1,6168;144,93;1,1735;;;;;;;;;;;;;;;;
19/08/1998;102,12;1;283,35;5,095;9,191;1,0872;1,6227;143,85;1,1737;;;;;;;;;;;;;;;;
20/08/1998;101,99;1;285,15;5,175;9,41;1,0879;1,6301;142,91;1,1733;;;;;;;;;;;;;;;;
21/08/1998;102,18;1;284,8;5,185;9,68;1,0889;1,6375;144,65;1,1749;;;;;;;;;;;;;;;;
24/08/1998;102,03;1;284,65;5,145;9,685;1,0898;1,6407;143,73;1,1747;;;;;;;;;;;;;;;;
25/08/1998;102,23;1;283,05;5,045;9,68;1,0879;1,6408;144,14;1,1743;;;;;;;;;;;;;;;;
26/08/1998;102,57;1;282,25;4,965;9,78;1,083;1,6383;144,14;1,1726;;;;;;;;;;;;;;;;
27/08/1998;101,93;1;276,55;4,875;9,925;1,0825;1,6495;141,99;1,1747;;;;;;;;;;;;;;;;
28/08/1998;100,22;1;274,35;4,665;10,005;1,1021;1,6806;141,8;1,176;;;;;;;;;;;;;;;;
31/08/1998;100,2;1;275,55;4,685;9,96;1,1021;1,6798;139,3;1,1765;;;;;;;;;;;;;;;;
